id,tags,rooms,price,is_exclusive,highlighting_level,estate_type,area,address,latitude,longitude,new_bedrooms_count
4809250,"3 pièces, 2 chambres, 53 m², Étage 0/6, Terrasse, Parking, Ascenseur",3,818,t,2,Appartement,54.53333333333333,Mantes-la-Ville,48.9748938,1.7109449,2
4809280,"2 pièces, 1 chambre, 44 m², Étage 1/2, Balcon",2,1840,t,2,Appartement,43.80952380952381,Paris 6ème,48.8467108,2.3284707,0
4809849,"2 pièces, 1 chambre, 33 m², Étage 1/–, Terrasse",2,909,t,2,Appartement,33.666666666666664,Le Raincy,48.8986666,2.5155626,0
4810734,"2 pièces, 1 chambre, 38 m², Étage 4/6",2,1290,f,2,Appartement,37.94117647058823,Paris 18ème,48.8921294,2.3489558,0
4810762,"2 pièces, 1 chambre, 47 m², Étage 1/–",2,2000,t,2,Appartement,46.51162790697674,Paris 4ème,48.8510673,2.3670936,0
4810763,"2 pièces, 1 chambre, 41 m², Étage 1/6",2,1120,f,2,Appartement,41.48148148148148,Vincennes,48.8474508,2.4396714,0
4810764,"1 pièce, 9 m², Étage 2/–, Terrasse",1,870,f,2,Studio,8.969072164948454,Nanterre,48.8924273,2.2071267,0
4810765,"1 pièce, 15 m², Étage 0/–, Jardin",1,990,f,2,Studio,15.0,Montreuil,50.4638918,1.7631125,0
4810766,"1 pièce, 12 m², Étage 3/–, Terrasse",1,500,f,2,Studio,11.904761904761903,Évry,48.26406,3.25604,0
4810767,"1 pièce, 10 m², Étage 5/–, Terrasse, Ascenseur",1,620,f,2,Studio,10.0,Champs-sur-Marne,48.8526892,2.6027219,0
4810769,"2 pièces, 1 chambre, 25 m², Étage 3/3",2,750,f,2,Appartement,25.0,Melun,48.539927,2.6608169,0
4810770,"1 pièce, 32 m², Étage 0/0, Terrasse, Parking, Ascenseur",1,850,t,2,Studio,31.48148148148148,Champigny-sur-Marne,48.8137759,2.5107384,0
4810771,"1 pièce, 38 m², Étage 0/3, Parking",1,712,t,2,Studio,37.47368421052632,Menucourt,49.027615,1.9815885,0
197671,"2 pièces, 1 chambre, 40 m², Étage –/2, Balcon, Parking",2,930,t,2,Appartement,40.43478260869565,Plaisir,48.817399,1.9476363,0
416925,"2 pièces, 1 chambre, 45 m², Étage 3/–, Ascenseur",2,2100,f,2,Appartement,44.680851063829785,Paris 8ème,48.8670978,2.3131224,0
417230,"3 pièces, 2 chambres, 70 m², Étage 3/–, Parking",3,3000,f,2,Duplex,69.76744186046511,Paris 6ème,48.8467108,2.3284707,2
418283,"6 pièces, 4 chambres, 210 m², Étage 2/–, Parking, Ascenseur",6,8000,f,2,Duplex,210.52631578947367,Paris 7ème,48.857274,2.318348,4
418327,"2 pièces, 1 chambre, 48 m², Étage 2/–, Balcon, Ascenseur",2,2300,f,2,Appartement,47.91666666666666,Paris 8ème,48.8670978,2.3131224,0
678761,"5 pièces, 3 chambres, 240 m², Étage 2/–, Balcon, Ascenseur",5,30000,f,2,Appartement,240.0,Paris 3ème,48.86387315,2.361785853857205,3
680426,"2 pièces, 1 chambre, 34 m², Étage 0/–",2,940,f,2,Appartement,33.57142857142857,Clichy,48.9026,2.30551,0
810576,"7 pièces, 4 chambres, 180 m², Étage 4/5, Balcon, Parking, Ascenseur",7,15000,f,3,Duplex,180.72289156626505,Paris 7ème,48.857274,2.318348,4
869338,"8 pièces, 4 chambres, 385 m², Étage 2/6",8,18000,f,3,Appartement,382.9787234042553,Paris 16ème,48.856779,2.2724945,4
893867,"3 pièces, 2 chambres, 80 m², Étage 14/14, Balcon, Ascenseur",3,3800,t,3,Appartement,80.85106382978724,Paris 16ème,48.856779,2.2724945,2
952958,"1 pièce, 40 m², Étage 2/2, Balcon, Parking",1,690,f,2,Studio,40.588235294117645,Morangis,48.9778812,3.9198107,0
1200814,"4 pièces, 3 chambres, 87 m², Étage 2/3",4,3600,t,3,Appartement,87.8048780487805,Paris 16ème,48.856779,2.2724945,3
1334785,"5 pièces, 3 chambres, 220 m², Étage 1/–, Terrasse",5,8500,f,2,Appartement,217.948717948718,Paris 3ème,48.86387315,2.361785853857205,3
1483589,"4 pièces, 3 chambres, 93 m², Étage 7/9, Balcon, Terrasse, Parking, Ascenseur",4,2919,t,3,Appartement,94.16129032258064,Boulogne-Billancourt,48.8356649,2.240206,3
1484670,"3 pièces, 2 chambres, 52 m², Ascenseur",3,1980,f,3,Appartement,52.10526315789474,Paris 16ème,48.856779,2.2724945,2
1523131,"3 pièces, 2 chambres, 72 m², Étage 1/6, Terrasse, Jardin, Box, Ascenseur",3,3065,t,2,Appartement,71.27906976744185,Neuilly-sur-Seine,48.884683,2.2695658,2
1618358,"3 pièces, 2 chambres, 62 m², Étage 1/6, Ascenseur",3,1750,t,2,Appartement,62.5,Boulogne-Billancourt,48.8356649,2.240206,2
1778745,"3 pièces, 2 chambres, 47 m², Étage 1/5, Ascenseur",3,2850,t,3,Appartement,46.72131147540984,Paris 19ème,48.88571455,2.3969715730314958,2
1869894,"1 pièce, 42 m², Étage 5/10, Ascenseur",1,2050,t,3,Studio,41.83673469387755,Paris 16ème,48.856779,2.2724945,0
2043062,"4 pièces, 3 chambres, 72 m², Étage 3/5, Parking, Ascenseur",4,1562,t,2,Appartement,71.0,Villejuif,48.7921098,2.3633048,3
2157749,"2 pièces, 1 chambre, 56 m², Étage 1/8, Parking, Ascenseur",2,2900,t,3,Appartement,55.76923076923077,Paris 17ème,48.8791008,2.28743,0
2200815,"7 pièces, 3 chambres, 236 m², Étage 4/4, Balcon, Parking, Ascenseur",7,10800,f,2,Appartement,234.7826086956522,Paris 8ème,48.8670978,2.3131224,3
2241095,"5 pièces, 3 chambres, 200 m², Étage 7/–, Balcon, Parking, Ascenseur",5,15000,f,2,Appartement,200.0,Paris 8ème,48.8670978,2.3131224,3
2345280,"4 pièces, 2 chambres, 73 m², Étage 0/2",4,880,f,2,Appartement,73.33333333333333,Marines,49.1451519,1.9831777,2
2425640,"4 pièces, 2 chambres, 92 m², Étage 6/–, Balcon, Ascenseur",4,8500,f,3,Appartement,92.3913043478261,Paris 8ème,48.8670978,2.3131224,2
